지점,년도,날짜,계절관측,계절현상
인천,2010,2010-05-03,제비,초견
인천,2010,7일,제비,초견(평비)
인천,2010,2010-10-12,제비,종견
인천,2010,-5일,제비,종견(평비)
인천,2010,2010-05-02,나비,초견
인천,2010,18일,나비,초견(평비)
인천,2010,2010-07-03,잠자리,초견
인천,2010,-3일,잠자리,초견(평비)
인천,2010,2010-05-24,뻐꾸기,초성
인천,2010,8일,뻐꾸기,초성(평비)
인천,2010,2010-07-07,매미,초성
인천,2010,-12일,매미,초성(평비)
인천,2010,2010-09-13,매미,종성
인천,2010,-8일,매미,종성(평비)
인천,2010,2010-09-23,기러기,초견
인천,2010,2010-08-19,코스모스,개화
인천,2010,-14일,코스모스,개화(평비)
인천,2010,2010-03-13,매화,발아
인천,2010,-10일,매화,발아(평비)
인천,2010,2010-04-12,매화,개화
인천,2010,1일,매화,개화(평비)
인천,2010,2010-03-13,개나리,발아
인천,2010,-7일,개나리,발아(평비)
인천,2010,2010-03-30,개나리,개화
인천,2010,-3일,개나리,개화(평비)
인천,2010,2010-04-03,진달래,발아
인천,2010,11일,진달래,발아(평비)
인천,2010,2010-04-08,진달래,개화
인천,2010,4일,진달래,개화(평비)
인천,2010,2010-04-06,벚나무,발아
인천,2010,8일,벚나무,발아(평비)
인천,2010,2010-04-20,벚나무,개화
인천,2010,7일,벚나무,개화(평비)
인천,2010,2010-05-16,아까시나무,발아
인천,2010,24일,아까시나무,발아(평비)
인천,2010,2010-05-27,아까시나무,개화
인천,2010,11일,아까시나무,개화(평비)
인천,2010,2010-04-08,복숭아,발아
인천,2010,5일,복숭아,발아(평비)
인천,2010,2010-04-25,복숭아,개화
인천,2010,6일,복숭아,개화(평비)
인천,2010,2010-04-05,배나무,발아
인천,2010,6일,배나무,발아(평비)
인천,2010,2010-04-29,배나무,개화
인천,2010,10일,배나무,개화(평비)
인천,2010,2010-10-30,은행나무,단풍시작
인천,2010,4일,은행나무,단풍시작(평비)
인천,2010,2010-11-07,은행나무,단풍절정
인천,2010,2일,은행나무,단풍절정(평비)
인천,2010,2010-10-31,단풍나무,단풍시작
인천,2010,1일,단풍나무,단풍시작(평비)
인천,2010,2010-11-10,단풍나무,단풍절정
인천,2010,2일,단풍나무,단풍절정(평비)
인천,2010,2010-11-19,서리,시작
인천,2010,12일,서리,시작(평비)
인천,2010,2011-04-01,서리,끝
인천,2010,7일,서리,끝(평비)
인천,2010,2010-10-26,얼음,시작
인천,2010,-12일,얼음,시작(평비)
인천,2010,2011-03-27,얼음,끝
인천,2010,-3일,얼음,끝(평비)
인천,2010,2010-11-27,눈,시작
인천,2010,3일,눈,시작(평비)
인천,2010,2011-03-24,눈,끝
인천,2010,6일,눈,끝(평비)
인천,2011,2011-06-29,제비,초견
인천,2011,64일,제비,초견(평비)
인천,2011,2011-10-06,제비,종견
인천,2011,-11일,제비,종견(평비)
인천,2011,2011-04-17,나비,초견
인천,2011,3일,나비,초견(평비)
인천,2011,2011-07-05,잠자리,초견
인천,2011,-1일,잠자리,초견(평비)
인천,2011,2011-05-26,뻐꾸기,초성
인천,2011,10일,뻐꾸기,초성(평비)
인천,2011,2011-07-20,매미,초성
인천,2011,1일,매미,초성(평비)
인천,2011,2011-09-12,매미,종성
인천,2011,-9일,매미,종성(평비)
인천,2011,2011-10-01,기러기,초견
인천,2011,2011-08-03,코스모스,개화
인천,2011,-30일,코스모스,개화(평비)
인천,2011,2011-04-04,매화,발아
인천,2011,12일,매화,발아(평비)
인천,2011,2011-04-14,매화,개화
인천,2011,3일,매화,개화(평비)
인천,2011,2011-03-29,개나리,발아
인천,2011,9일,개나리,발아(평비)
인천,2011,2011-04-12,개나리,개화
인천,2011,10일,개나리,개화(평비)
인천,2011,2011-04-01,진달래,발아
인천,2011,9일,진달래,발아(평비)
인천,2011,2011-04-17,진달래,개화
인천,2011,13일,진달래,개화(평비)
인천,2011,2011-04-04,벚나무,발아
인천,2011,6일,벚나무,발아(평비)
인천,2011,2011-04-20,벚나무,개화
인천,2011,7일,벚나무,개화(평비)
인천,2011,2011-05-19,아까시나무,발아
인천,2011,27일,아까시나무,발아(평비)
인천,2011,2011-05-25,아까시나무,개화
인천,2011,9일,아까시나무,개화(평비)
인천,2011,2011-04-12,복숭아,발아
인천,2011,9일,복숭아,발아(평비)
인천,2011,2011-05-02,복숭아,개화
인천,2011,13일,복숭아,개화(평비)
인천,2011,2011-04-12,배나무,발아
인천,2011,13일,배나무,발아(평비)
인천,2011,2011-05-02,배나무,개화
인천,2011,13일,배나무,개화(평비)
인천,2011,2011-10-28,은행나무,단풍시작
인천,2011,2일,은행나무,단풍시작(평비)
인천,2011,2011-11-07,은행나무,단풍절정
인천,2011,2일,은행나무,단풍절정(평비)
인천,2011,2011-10-27,단풍나무,단풍시작
인천,2011,-3일,단풍나무,단풍시작(평비)
인천,2011,2011-11-08,단풍나무,단풍절정
인천,2011,0일,단풍나무,단풍절정(평비)
인천,2011,2011-11-21,서리,시작
인천,2011,14일,서리,시작(평비)
인천,2011,2012-03-15,서리,끝
인천,2011,-10일,서리,끝(평비)
인천,2011,2011-11-20,얼음,시작
인천,2011,13일,얼음,시작(평비)
인천,2011,2011-11-25,눈,시작
인천,2011,1일,눈,시작(평비)
인천,2011,2012-04-03,눈,끝
인천,2011,16일,눈,끝(평비)
인천,2011,2011-04-17,군락단지,절정
